"","myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
"321",0.841,2.30145573627434,0.682,3.84788685563327,0.757,0.108,"2","G0S2"
"322",0.88,1.73436969057501,0.76,3.84174036722487,0.823,0.093,"2","SERPINA1"
"323",0.726,0.876886222033353,0.452,3.84029404052005,0.49,0.044,"7","SMC2"
"324",0.775,1.56268839791221,0.55,3.8315496392098,0.613,0.083,"2","AC015912.3"
"325",0.866,1.67891350500685,0.732,3.81255085031539,0.808,0.129,"14","SMIM14"
"326",0.721,1.93275026843367,0.442,3.80764698605736,0.514,0.094,"2","CCL20"
"327",0.844,1.50613889022341,0.688,3.79656903845476,0.759,0.113,"16","UGCG"
"328",0.752,1.42557446677619,0.504,3.79388090349004,0.56,0.069,"16","THBD"
"329",0.746,1.69517349979518,0.492,3.77966230143852,0.616,0.165,"12","EIF4EBP1"
"330",0.857,1.39166892199306,0.714,3.77011510493755,0.776,0.07,"14","BACH2"
"331",0.73,0.71320211602543,0.46,3.75150447646028,0.488,0.025,"15","CDC20"
"332",0.784,0.962616372946715,0.568,3.73894440452466,0.62,0.053,"8","CSF2RA"
"333",0.755,1.13040122129457,0.51,3.73811968044063,0.562,0.065,"16","CSF2RB"
"334",0.925,2.2965514575152,0.85,3.73339534710674,0.934,0.283,"6","CTSB"
"335",0.732,0.920870889703679,0.464,3.73315267432622,0.504,0.043,"6","FPR3"
"336",0.925,1.92853862197588,0.85,3.72125736796054,0.927,0.103,"14","MS4A1"
"337",0.88,1.81676491775075,0.76,3.72003686092591,0.836,0.166,"16","IRF8"
"338",0.725,0.712472503726244,0.45,3.71839312178734,0.479,0.026,"14","PAX5"
"339",0.708,0.657294936539345,0.416,3.71034321744012,0.446,0.03,"18","PKMYT1"
"340",0.738,1.21494069187537,0.476,3.70268494614605,0.522,0.054,"2","SMIM25"
"341",0.746,1.28442955888394,0.492,3.70216146374163,0.553,0.081,"2","ACSL1"
"342",0.909,2.15784871774011,0.818,3.70138350001136,0.914,0.231,"2","BCL2A1"
"343",0.73,1.10425872905939,0.46,3.69013575062598,0.53,0.075,"17","ENG"
"344",0.814,1.37642258512099,0.628,3.68261082304002,0.677,0.048,"18","UBE2C"
"345",0.903,2.38672804725228,0.806,3.68019560643954,0.897,0.154,"2","CXCL8"
"346",0.744,1.60743092194776,0.488,3.67999750335475,0.581,0.154,"12","SPINT2"
"347",0.926,2.32190745462707,0.852,3.6705184772134,0.939,0.131,"2","LYZ"
"348",0.718,0.692315383142377,0.436,3.66726749214337,0.472,0.036,"18","CDT1"
"349",0.715,1.09669634424465,0.43,3.66689087680176,0.478,0.059,"2","HBEGF"
"350",0.914,1.94732972357064,0.828,3.66417399592682,0.901,0.157,"6","CD68"
"351",0.886,2.06785000247549,0.772,3.66399946458414,0.872,0.302,"16","IRF7"
"352",0.8,1.02632666717211,0.6,3.65060093366733,0.656,0.068,"14","EAF2"
"353",0.704,0.609163533313149,0.408,3.63786197760504,0.438,0.03,"14","PNOC"
"354",0.841,1.88832588198154,0.682,3.62574878966473,0.765,0.135,"4","TNFRSF18"
"355",0.709,1.03518048371766,0.418,3.62122378744195,0.48,0.075,"16","C12orf45"
"356",0.761,1.0999497061832,0.522,3.61045270065935,0.579,0.071,"7","CKS1B"
"357",0.754,1.0540281466137,0.508,3.60976164226502,0.566,0.067,"16","RUBCN"
"358",0.823,1.42801575520773,0.646,3.60313482329761,0.725,0.123,"16","CCDC50"
"359",0.793,1.03757166548126,0.586,3.60214382911365,0.639,0.047,"14","CXCR5"
"360",0.713,1.40464814106258,0.426,3.59898729962133,0.476,0.061,"13","IFIT2"
"361",0.933,2.37333992768617,0.866,3.59408575921907,0.978,0.24,"8","CST3"
"362",0.804,1.39774539619527,0.608,3.59259685703304,0.632,0.027,"14","IGLL5"
"363",0.77,1.08376821026025,0.54,3.5866824071056,0.596,0.066,"6","LILRB4"
"364",0.822,1.65707613577673,0.644,3.58652167727355,0.725,0.095,"6","CTSL"
"365",0.741,0.732108349701006,0.482,3.56812128843062,0.521,0.034,"14","STAP1"
"366",0.703,1.08934527631626,0.406,3.56323784382938,0.447,0.05,"2","CSF3R"
"367",0.818,1.41289811098259,0.636,3.55109153451293,0.697,0.071,"18","TYMS"
"368",0.906,2.22668472549068,0.812,3.54576209597836,0.924,0.503,"12","GSTP1"
"369",0.845,1.25483147894821,0.69,3.5289000348228,0.741,0.043,"15","UBE2C"
"370",0.85,1.18131793743223,0.7,3.52872949248389,0.77,0.077,"14","RAB30"
"371",0.73,0.844429574853931,0.46,3.52862237797246,0.508,0.045,"18","CDKN3"
"372",0.936,2.17527121765993,0.872,3.5242242442548,0.959,0.313,"2","SOD2"
"373",0.858,1.54901276180089,0.716,3.517954760612,0.805,0.142,"17","SELENOM"
"374",0.714,0.676767585271027,0.428,3.50806006227706,0.467,0.038,"18","TCF19"
"375",0.79,1.13644004565133,0.58,3.50504020916793,0.633,0.049,"14","STAG3"
"376",0.736,1.14648494828127,0.472,3.50451612755162,0.524,0.051,"6","CD163"
"377",0.814,1.21006037490556,0.628,3.49756036430201,0.687,0.067,"18","PCLAF"
"378",0.791,0.723426513874651,0.582,3.49359808505377,0.623,0.034,"15","BIRC5"
"379",0.766,0.839085257311438,0.532,3.4882290463265,0.579,0.048,"18","ZWINT"
"380",0.747,0.764955899383778,0.494,3.48283082951546,0.542,0.048,"14","BLNK"
"381",0.858,1.31138705929419,0.716,3.47012648057321,0.796,0.124,"9","PRDX4"
"382",0.773,0.874845526651639,0.546,3.46687872734144,0.602,0.061,"17","TSPAN4"
"383",0.801,1.16885583064476,0.602,3.46067105359074,0.669,0.076,"17","PMP22"
"384",0.848,1.85015702463169,0.696,3.45865591099767,0.823,0.205,"6","CTSD"
"385",0.843,1.26081327067509,0.686,3.4550938574337,0.767,0.108,"14","CD40"
"386",0.821,1.71160171515833,0.642,3.44989302131216,0.72,0.125,"11","CD9"
"387",0.706,1.04105153239849,0.412,3.44776520380357,0.47,0.06,"17","NPDC1"
