"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS27A3",3.38750704342062e-64,0.33827754277545,0.997,0.978,1.13610211222241e-59,"9","RPS27A"
"RHOC2",9.0062378628134e-64,0.836222642616874,0.449,0.229,3.02051205443036e-59,"9","RHOC"
"RIN3",1.22012762259658e-63,1.03358791019156,0.297,0.125,4.0920640206644e-59,"9","RIN3"
"NKG73",8.04112506771395e-63,0.461100051745208,0.907,0.587,2.69683252520991e-58,"9","NKG7"
"FAM3C1",5.66784582172055e-62,1.06791061415836,0.316,0.141,1.90088213168864e-57,"9","FAM3C"
"MPG",5.63299372093512e-61,0.974789213853747,0.416,0.214,1.88919343412722e-56,"9","MPG"
"CARD19",1.50139156201393e-60,1.27045996901521,0.253,0.103,5.03536702068233e-56,"9","CARD19"
"HAVCR21",3.9626686504119e-60,0.917873938097477,0.364,0.174,1.32899981197514e-55,"9","HAVCR2"
"RPS51",6.04449236981572e-60,0.384880230021876,0.964,0.873,2.0272018509888e-55,"9","RPS5"
"ATF31",4.46777603150575e-59,0.781557952721409,0.359,0.173,1.4984027254464e-54,"9","ATF3"
"SLC25A391",1.11002538647677e-56,0.975230804826037,0.361,0.178,3.7228031411658e-52,"9","SLC25A39"
"MT-ATP83",4.13118044295689e-55,0.527511555417243,0.939,0.858,1.38551529695888e-50,"9","MT-ATP8"
"NME21",6.16156814812093e-55,0.651222189826737,0.683,0.455,2.0664667255168e-50,"9","NME2"
"FLOT1",2.32662427246472e-54,1.12817981992037,0.29,0.133,7.80303248499218e-50,"9","FLOT1"
"MT-ATP65",2.54614955620217e-54,0.38451464108569,0.988,0.951,8.53927638159083e-50,"9","MT-ATP6"
"TMSB4X2",5.21111560079358e-53,0.27198151305818,1,0.998,1.74770395019415e-48,"9","TMSB4X"
"CD151",1.53230347730541e-52,1.10140449100147,0.256,0.111,5.13903940218689e-48,"9","CD151"
"FOSL2",1.67778712407708e-51,1.11249184446425,0.299,0.141,5.62696245672972e-47,"9","FOSL2"
"RPS213",3.00872245386165e-51,0.475307419749174,0.919,0.788,1.00906533657612e-46,"9","RPS2"
"PTP4A12",2.75729635481823e-50,0.894077996378214,0.398,0.215,9.24742051478938e-46,"9","PTP4A1"
"RPL132",2.91778836625712e-50,0.265147960253156,0.996,0.985,9.78567862275313e-46,"9","RPL13"
"RPS242",6.00477593670538e-50,0.305456526722625,0.992,0.975,2.01388175365225e-45,"9","RPS24"
"ID3",1.03020293779915e-49,0.897016512941404,0.282,0.131,3.45509461279078e-45,"9","ID3"
"BAG31",3.81901177100132e-49,1.0239211578573,0.305,0.15,1.28082016775842e-44,"9","BAG3"
