"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"STX11",6.05967161095536e-105,1.29851541854697,0.27,0.163,2.03229266488221e-100,"0","STX11"
"ARHGDIB",7.38851822324384e-105,0.535039584265454,0.705,0.623,2.47796124171152e-100,"0","ARHGDIB"
"PAK1",5.16718677116804e-104,1.43628347356731,0.271,0.166,1.73297109931434e-99,"0","PAK1"
"JUND",6.77181653051925e-104,0.292627321024428,0.91,0.825,2.27113182800554e-99,"0","JUND"
"BCL3",7.52604918673694e-104,1.09728016665094,0.353,0.249,2.52408637624784e-99,"0","BCL3"
"RPL6",1.15162502136884e-103,0.305640782032977,0.963,0.869,3.8623199966668e-99,"0","RPL6"
"LCP2",2.49109955856206e-103,0.487897734181748,0.402,0.277,8.35464969950543e-99,"0","LCP2"
"ATP6V1F",2.86677453815524e-102,1.13589194214766,0.462,0.404,9.61458844606503e-98,"0","ATP6V1F"
"NDUFB4",5.20331354561451e-102,1.00903553944,0.516,0.478,1.74508729692819e-97,"0","NDUFB4"
"NDUFB1",7.38964589872625e-102,1.07005064727164,0.489,0.439,2.47833944151481e-97,"0","NDUFB1"
"AC020916.1",8.89770391665421e-101,1.52368288268444,0.347,0.251,2.98411193956749e-96,"0","AC020916.1"
"UBA52",1.00964285193741e-100,0.325802677738603,0.946,0.877,3.38614019682768e-96,"0","UBA52"
"PRNP",4.30915367284565e-100,1.97084754979802,0.411,0.351,1.44520395879897e-95,"0","PRNP"
"SKP1",4.15337068000639e-96,0.615517688532238,0.658,0.655,1.39295745866054e-91,"0","SKP1"
"UQCRH",7.4701790588245e-96,0.701653514432691,0.629,0.621,2.50534865274856e-91,"0","UQCRH"
"KDM6B",2.2105982668459e-94,0.487476729109635,0.533,0.438,7.41390446734779e-90,"0","KDM6B"
"TMEM258",1.06482827296283e-92,0.924138480156485,0.531,0.501,3.57122106186274e-88,"0","TMEM258"
"TSC22D2",2.54089932275752e-92,1.62186775089855,0.325,0.238,8.52166814866418e-88,"0","TSC22D2"
"ST13",9.21434350407385e-92,0.839980583442279,0.571,0.559,3.09030652439629e-87,"0","ST13"
"GPR65",3.25672818784943e-91,0.908868404651304,0.327,0.22,1.09224149964094e-86,"0","GPR65"
"RPL36",1.14597808506338e-90,0.270971557818029,0.975,0.875,3.84338130168557e-86,"0","RPL36"
"CD84",1.17320237813172e-90,1.17645827806982,0.298,0.194,3.93468613577818e-86,"0","CD84"
"DUSP6",3.05246193224439e-90,1.71826100270447,0.283,0.189,1.02373468283612e-85,"0","DUSP6"
"ZFAND2A",3.20469321776634e-89,0.734862669400291,0.466,0.373,1.07479001137447e-84,"0","ZFAND2A"
"TRA2B",3.91579411217376e-85,0.67691649760183,0.66,0.675,1.31327902934084e-80,"0","TRA2B"
"CST7",2.02068299009671e-84,0.346642480737663,0.383,0.248,6.77696661218633e-80,"0","CST7"
"ATP1B3",5.18438843653156e-83,1.11389919627018,0.487,0.436,1.73874019384396e-78,"0","ATP1B3"
"BTF3",6.08711788810441e-83,0.407702006340625,0.791,0.748,2.04149759731246e-78,"0","BTF3"
"ATG12",6.71837186388224e-83,1.30428530209697,0.399,0.341,2.25320755570883e-78,"0","ATG12"
"SNRPG",1.37732471378892e-82,0.945831816474156,0.496,0.465,4.61927162510527e-78,"0","SNRPG"
"NFKBID",3.59256494056523e-82,1.24574926865499,0.29,0.197,1.20487442976677e-77,"0","NFKBID"
"NSMCE1",1.24652703913729e-81,2.10881691025227,0.254,0.173,4.18060238385863e-77,"0","NSMCE1"
"COMMD6",2.36651607944418e-78,0.670954360587534,0.641,0.636,7.93682162723989e-74,"0","COMMD6"
