"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ZFP36L2",2.50458261856306e-138,0.938010070802339,0.967,0.815,8.39986918613678e-134,"0","ZFP36L2"
"GPR183",5.89385805549338e-138,1.46450334691046,0.671,0.346,1.97668211465137e-133,"0","GPR183"
"ZFP36",3.22486086955272e-134,1.07699406229655,0.889,0.662,1.08155383843059e-129,"0","ZFP36"
"BTG2",1.18906750478786e-129,0.969074807917291,0.914,0.708,3.98789459755751e-125,"0","BTG2"
"LEPROTL1",3.93500693721672e-125,1.12531019457199,0.752,0.445,1.31972262660374e-120,"0","LEPROTL1"
"UBA52",9.84618860960311e-121,0.609642620186347,0.971,0.818,3.30221473588869e-116,"0","UBA52"
"ZC3HAV1",1.82268339192678e-120,1.11102824013448,0.772,0.524,6.11291555984405e-116,"0","ZC3HAV1"
"RGCC",2.86350598677455e-119,1.27739582931884,0.67,0.374,9.60362637844449e-115,"0","RGCC"
"NR4A2",1.02906043779625e-117,1.15573097751776,0.667,0.361,3.45126289628107e-113,"0","NR4A2"
"ZNF331",3.35539863447319e-117,1.23802589171519,0.676,0.381,1.12533359402962e-112,"0","ZNF331"
"RPS11",5.5265437223774e-117,0.571546943405324,0.976,0.856,1.85349223361093e-112,"0","RPS11"
"SLC2A3",3.71097671271019e-116,0.884297157010151,0.746,0.439,1.24458736990874e-111,"0","SLC2A3"
"CD69",5.72249944247603e-115,1.09856346873762,0.859,0.631,1.91921186301761e-110,"0","CD69"
"RPL36A",7.05110594393694e-113,0.745769163739443,0.938,0.743,2.36479991147757e-108,"0","RPL36A"
"FTH1",7.58232371974275e-113,1.03839598293065,0.98,0.843,2.54295972912732e-108,"0","FTH1"
"TCF7",5.26222387717346e-112,1.11768482113675,0.545,0.241,1.76484464392643e-107,"0","TCF7"
"SC5D",1.09505961919051e-110,1.83825270912058,0.404,0.154,3.67261095084113e-106,"0","SC5D"
"JUND",2.61873616528416e-110,0.66119506509522,0.977,0.882,8.78271735113002e-106,"0","JUND"
"CXCR4",8.48156886209346e-108,0.833985851955952,0.933,0.743,2.84454856496891e-103,"0","CXCR4"
"RPL8",3.44895917256074e-105,0.558216838749703,0.982,0.855,1.15671192729342e-100,"0","RPL8"
"SELL",4.4341561825076e-105,1.57871495694563,0.484,0.22,1.4871273004894e-100,"0","SELL"
"RPS4Y1",1.85138200581706e-102,0.823073971622632,0.841,0.602,6.20916497110925e-98,"0","RPS4Y1"
"MYADM",3.4982930707825e-102,1.21145496278418,0.535,0.252,1.17325753007903e-97,"0","MYADM"
"PFDN5",3.08387542350568e-101,0.62265979689227,0.942,0.764,1.03427013953533e-96,"0","PFDN5"
"IRF1",1.36995966298949e-100,0.92485696970465,0.862,0.686,4.59457071773415e-96,"0","IRF1"
"DNAJA1",1.7959690892202e-99,0.885751852193714,0.938,0.786,6.02332113142672e-95,"0","DNAJA1"
"YPEL5",8.38100240010636e-99,1.13080257369729,0.743,0.511,2.81082058494767e-94,"0","YPEL5"
"SOD2",1.77826305538089e-98,1.14598410377256,0.611,0.348,5.96393863513642e-94,"0","SOD2"
"FOS",1.50247243931095e-97,1.15014589801757,0.892,0.695,5.03899206696106e-93,"0","FOS"
"PDCD4",3.3554101133564e-97,0.94736944669317,0.725,0.456,1.12533744381747e-92,"0","PDCD4"
"RPL4",1.24423874245819e-95,0.631383839028311,0.941,0.754,4.17292789445627e-91,"0","RPL4"
"KLF3",1.69674188976971e-94,1.46881000208177,0.304,0.093,5.69053294990966e-90,"0","KLF3"
"RPL17",2.54556999030132e-91,0.772394449809575,0.837,0.609,8.53733263347258e-87,"0","RPL17"
"HSPA8",9.90134909148706e-91,0.642460425904562,0.962,0.849,3.32071445830293e-86,"0","HSPA8"
"RPL23",7.83189906679576e-89,0.552478676085296,0.962,0.817,2.62666230902196e-84,"0","RPL23"
"LDHB",5.30731272634075e-86,0.824551354212778,0.791,0.546,1.77996654216016e-81,"0","LDHB"
"FOSB",5.74479256233117e-86,0.92088340364958,0.797,0.56,1.92668852955463e-81,"0","FOSB"
"HSP90AB1",5.17306203864924e-83,0.87121349592586,0.97,0.872,1.73494154652218e-78,"0","HSP90AB1"
